,Postcode 1,Longitude,Latitude
,NW1 1GS,-0.13543,51.530784
,NW1 1GT,-0.13543,51.530784
,NW1 1GU,-0.13543,51.530784
,NW1 1GW,-0.13543,51.530784
,NW1 1GX,-0.13543,51.530784
,NW1 1GY,-0.13543,51.530784
,NW1 1GZ,-0.13543,51.530784
,NW1 1HA,-0.128908,51.533019
,NW1 1HB,-0.131334,51.53116
,NW1 1HD,-0.129538,51.533136
,NW1 1HH,-0.131357,51.530621
,NW1 1HJ,-0.131031,51.530822
,NW1 1HL,-0.130219,51.533408
,NW1 1HN,-0.129485,51.529862
,NW1 1HP,-0.129485,51.529853
,NW1 1HQ,-0.130665,51.532372
,NW1 1HR,-0.129485,51.529862
,NW1 1HS,-0.130104,51.529872
,NW1 1HW,-0.129858,51.533052
,NW1 1HY,-0.130607,51.529916
,NW1 1JB,-0.129603,51.529424
,NW1 1JD,-0.129596,51.528911
,NW1 1JE,-0.129615,51.528785
,NW1 1JF,-0.129551,51.528586
,NW1 1JH,-0.129131,51.528993
,NW1 1JJ,-0.128524,51.52937
,NW1 1JL,-0.128623,51.529066
,NW1 1JN,-0.13543,51.530784
,NW1 1JP,-0.13543,51.530784
,NW1 1JQ,-0.13543,51.530784
,NW1 1JR,-0.130365,51.530191
,NW1 1JS,-0.13543,51.530784
,NW3 1AX,-0.176509,51.563155
,NW1 1JT,-0.13543,51.530784
,NW1 1JU,-0.13543,51.530784
,NW1 1JW,-0.13543,51.530784
,NW1 1JX,-0.132711,51.529664
,NW1 1JY,-0.132359,51.529369
,NW1 1LA,-0.132349,51.529629
,NW1 1LB,-0.131818,51.529198
,NW1 1LD,-0.132143,51.529725
,NW1 1LE,-0.131687,51.529601
,NW1 1LF,-0.13543,51.530784
,NW1 1LG,-0.131232,51.529432
,NW1 1LH,-0.132054,51.529085
,NW1 1LJ,-0.13074,51.528776
,NW1 1LL,-0.130885,51.528401
,NW1 1LN,-0.130468,51.528376
,NW1 1LP,-0.13543,51.530784
,NW1 1LQ,-0.131071,51.52915
,NW1 1LR,-0.130372,51.52895
,NW1 1LS,-0.130475,51.529267
,NW1 1LT,-0.13069,51.529648
,NW1 1LU,-0.13543,51.530784
,NW1 1LW,-0.129864,51.528699
,NW1 1LX,-0.13104,51.529545
,NW1 1LY,-0.13325,51.529787
,NW1 1LZ,-0.13543,51.530784
,NW1 1NA,-0.131461,51.528419
,NW1 1NB,-0.136438,51.534694
,NW1 1NG,-0.13543,51.530784
,NW1 1NH,-0.137523,51.53321
,NW1 1NJ,-0.136945,51.533947
,NW1 1NL,-0.13566,51.535032
,NW1 1NN,-0.135236,51.534819
,NW1 1NP,-0.132989,51.534765
,NW1 1NR,-0.134297,51.533455
,NW1 1NS,-0.134241,51.533409
,NW1 1NT,-0.134898,51.533213
,NW1 1NU,-0.136116,51.532702
,NW1 1NW,-0.135236,51.534819
,NW1 1NX,-0.136558,51.533167
,NW1 1NY,-0.135576,51.533565
,NW1 1PA,-0.134842,51.533877
,NW1 1PB,-0.13543,51.530784
,NW1 1PD,-0.13543,51.530784
,NW1 1PE,-0.13543,51.530784
,NW1 1PF,-0.13543,51.530784
,NW1 1PG,-0.13543,51.530784
,NW1 1PH,-0.135599,51.532639
,NW1 1PJ,-0.135492,51.532449
,NW1 1PL,-0.135134,51.532371
,NW1 1PN,-0.1353,51.532194
,NW1 1PP,-0.134908,51.531909
,NW1 1PQ,-0.13543,51.530784
,NW1 1PR,-0.134669,51.53177
,NW1 1PS,-0.134358,51.531622
,NW1 1PT,-0.134248,51.532186
,NW1 1PU,-0.1338,51.532224
,NW1 1PW,-0.13543,51.530784
,NW1 1PX,-0.134248,51.532186
,NW1 1PY,-0.13543,51.530784
,NW1 1QA,-0.134127,51.531267
,NW1 1QB,-0.134068,51.53096
,NW1 1QD,-0.133874,51.531119
,NW1 1QE,-0.133542,51.530763
,NW1 1QF,-0.13543,51.530784
,NW1 1QG,-0.13543,51.530784
,NW1 1QH,-0.134274,51.531198
,NW1 1QJ,-0.13543,51.530784
,NW1 1QL,-0.13543,51.530784
,NW1 1QN,-0.135159,51.532839
,NW1 1QP,-0.134446,51.532372
,NW1 1QQ,-0.13543,51.530784
,NW1 1QR,-0.134471,51.53237
,NW1 1QS,-0.134228,51.532672
,NW1 1QT,-0.133681,51.532663
,NW1 1QU,-0.13398,51.53309
,NW1 1QW,-0.13543,51.530784
,NW1 1QX,-0.133681,51.532663
,NW1 1QY,-0.13543,51.530784
,NW1 1QZ,-0.13543,51.530784
,NW1 1RA,-0.13543,51.530784
,NW1 1RB,-0.133615,51.533219
,NW1 1RD,-0.1332,51.534535
,NW1 1RE,-0.13248,51.533822
,NW1 1RF,-0.13543,51.530784
,NW1 1RG,-0.133352,51.533656
,NW1 1RH,-0.13236,51.534279
,NW1 1RJ,-0.132525,51.53447
,NW1 1RL,-0.131834,51.534099
,NW1 1RN,-0.131527,51.533852
,NW1 1RP,-0.132036,51.533392
,NW1 1RR,-0.131879,51.533713
,NW1 1RS,-0.131828,51.533191
,NW1 1RT,-0.131433,51.533329
,NW1 1RU,-0.131044,51.533682
,NW1 1RW,-0.131044,51.533682
,NW1 1RX,-0.132813,51.532804
,NW1 1RZ,-0.13543,51.530784
,NW1 1SA,-0.133229,51.532422
,NW1 1SD,-0.13543,51.530784
,NW1 1SE,-0.13543,51.530784
,NW1 1SF,-0.13543,51.530784
,NW1 1SG,-0.13543,51.530784
,NW1 1SH,-0.13543,51.530784
,NW1 1SJ,-0.13543,51.530784
,NW1 1SL,-0.13543,51.530784
,NW1 1SN,-0.132996,51.532139
,NW1 1SP,-0.132784,51.532019
,NW1 1SQ,-0.13543,51.530784
,NW1 1SR,-0.132823,51.531786
,NW1 1SS,-0.132494,51.530998
,NW1 1ST,-0.132291,51.5314
,NW1 1SU,-0.13543,51.530784
,NW1 1SW,-0.13543,51.530784
,NW1 1SX,-0.13543,51.530784
,NW1 1SY,-0.133327,51.530391
,NW1 1SZ,-0.13543,51.530784
,NW1 1TA,-0.131832,51.530343
,NW1 1TB,-0.13543,51.530784
,NW1 1TD,-0.13543,51.530784
,NW1 1TE,-0.13543,51.530784
,NW1 1TF,-0.13543,51.530784
,NW1 1TG,-0.13543,51.530784
,NW1 1TJ,-0.13543,51.530784
,NW1 1TL,-0.13543,51.530784
,NW1 1TN,-0.137293,51.5346
,NW1 1TP,-0.136917,51.535055
,NW1 1TQ,-0.13543,51.530784
,NW1 1TR,-0.136056,51.535237
,NW1 1TS,-0.135284,51.535422
,NW1 1TT,-0.134183,51.535539
,NW1 1TU,-0.133946,51.535071
,NW1 1TW,-0.13543,51.530784
,NW1 1TY,-0.133734,51.535245
,NW1 1UA,-0.132567,51.534866
,NW1 1UB,-0.131746,51.534835
,NW1 1UD,-0.13543,51.530784
,NW1 1UE,-0.131427,51.534192
,NW1 1UG,-0.131158,51.534403
,NW1 1UH,-0.130401,51.534304
,NW1 1UL,-0.131403,51.535192
,NW1 1UN,-0.128906,51.533423
,NW1 1UQ,-0.13543,51.530784
,NW1 1UT,-0.13543,51.530784
,NW1 1UW,-0.13543,51.530784
,NW1 1UX,-0.13543,51.530784
,NW1 1UY,-0.13543,51.530784
,NW1 1UZ,-0.13543,51.530784
,NW1 1WA,-0.13543,51.530784
,NW1 1WD,-0.13543,51.530784
,NW1 1WF,-0.13543,51.530784
,NW1 1WG,-0.13543,51.530784
,NW1 1WJ,-0.13543,51.530784
,NW1 1WL,-0.13543,51.530784
,NW1 1WN,-0.13543,51.530784
,NW1 1WP,-0.13543,51.530784
,NW1 1WQ,-0.13543,51.530784
,NW1 1WR,-0.13543,51.530784
,NW1 1WT,-0.13543,51.530784
,NW1 1WU,-0.13543,51.530784
,NW1 1WW,-0.13543,51.530784
,NW1 1WX,-0.13543,51.530784
,NW1 1WY,-0.13543,51.530784
,NW1 1XB,-0.13543,51.530784
,NW1 1XD,-0.13543,51.530784
,NW1 1XE,-0.13543,51.530784
,NW1 1XF,-0.13543,51.530784
,NW1 1XG,-0.13543,51.530784
,NW1 1XH,-0.13543,51.530784
,NW1 1XJ,-0.13543,51.530784
,NW1 1XN,-0.13543,51.530784
,NW1 1XP,-0.13543,51.530784
,NW1 1XQ,-0.13543,51.530784
,NW1 1XR,-0.13543,51.530784
,NW1 1XS,-0.13543,51.530784
,NW1 1XT,-0.13543,51.530784
,NW1 1XU,-0.13543,51.530784
,NW1 1XY,-0.13543,51.530784
,NW1 1XZ,-0.13543,51.530784
,NW1 1YF,-0.13543,51.530784
,NW1 1YJ,-0.13543,51.530784
,NW1 1YL,-0.13543,51.530784
,NW1 1YQ,-0.13543,51.530784
,NW1 1YT,-0.13543,51.530784
,NW1 1YX,-0.13543,51.530784
,NW1 1YY,-0.13543,51.530784
,NW1 1ZB,-0.13543,51.530784
,NW1 1ZD,-0.13543,51.530784
,NW1 1ZQ,-0.13543,51.530784
,NW1 1ZR,-0.13543,51.530784
,NW1 1ZT,-0.13543,51.530784
,NW1 1ZU,-0.13543,51.530784
,NW1 2AA,-0.128381,51.527947
,NW1 2AE,-0.131674,51.526815
,NW1 2AF,-0.137409,51.525735
,NW1 2AJ,-0.128136,51.528645
,NW1 2AL,-0.128928,51.528307
,NW1 2AR,-0.125406,51.530166
,NW1 2AS,-0.129245,51.528312
,NW1 2AT,-0.130121,51.528398
,NW1 2AW,-0.129799,51.528518
,NW1 2AX,-0.132615,51.526297
,NW1 2AY,-0.129623,51.528237
,NW1 2BA,-0.13019,51.527077
,NW1 2BE,-0.133943,51.525896
,NW1 2BF,-0.134952,51.525543
,NW1 2BH,-0.130867,51.527088
,NW1 2BJ,-0.132615,51.526297
,NW1 2BT,-0.133928,51.526975
,NW1 2BU,-0.136911,51.524891
,NW1 2BW,-0.133928,51.526975
,NW1 2DA,-0.13566,51.525952
,NW1 2DB,-0.127014,51.529985
,NW1 2DH,-0.130668,51.527723
,NW1 2DN,-0.132183,51.528044
,NW1 2DS,-0.133296,51.528664
,NW1 2DT,-0.130377,51.527874
,NW1 2DU,-0.133296,51.528664
,NW1 2DX,-0.130402,51.527872
,NW1 2DY,-0.133296,51.528664
,NW1 2EA,-0.135005,51.527432
,NW1 2EB,-0.134903,51.527089
,NW1 2ED,-0.13543,51.530784
,NW1 2EF,-0.132152,51.527128
,NW1 2EJ,-0.134903,51.527089
,NW1 2EP,-0.133928,51.526975
,NW1 2ES,-0.135244,51.527211
,NW1 2ET,-0.135533,51.526856
,NW1 2EU,-0.138403,51.527172
,NW1 2EW,-0.136383,51.526501
,NW1 2EX,-0.136515,51.526467
,NW1 2EZ,-0.136017,51.526657
,NW1 2FA,-0.134965,51.526281
,NW1 2FB,-0.134176,51.526538
,NW1 2FD,-0.13355,51.5274
,NW1 2FE,-0.134965,51.526281
,NW1 2FL,-0.132183,51.528044
,NW1 2HA,-0.136358,51.526779
,NW1 2HB,-0.136288,51.527435
,NW1 2HD,-0.135728,51.526403
,NW1 2HE,-0.135129,51.526868
,NW1 2HH,-0.135605,51.527199
,NW1 2HJ,-0.135497,51.527377
,NW1 2HL,-0.136648,51.527072
,NW1 2HN,-0.1368,51.527236
,NW1 2HP,-0.136506,51.528095
,NW1 2HR,-0.136873,51.527579
,NW1 2HS,-0.133296,51.528664
,NW1 2HT,-0.136734,51.527442
,NW1 2HW,-0.136945,51.527304
,NW1 2HX,-0.135986,51.526342
,NW1 2JA,-0.138744,51.534362
,NW1 2JE,-0.138901,51.53405
,NW1 2JH,-0.138363,51.533466
,NW1 2JJ,-0.138046,51.533101
,NW1 2JL,-0.138742,51.532303
,NW1 2JN,-0.137874,51.532379
,NW1 2JP,-0.138561,51.531778
,NW1 2JR,-0.136755,51.531516
,NW1 2JS,-0.136393,51.531213
,NW1 2JT,-0.135915,51.531269
,NW1 2JU,-0.137474,51.532642
,NW1 2JX,-0.136247,51.531598
,NW1 2JY,-0.13658,51.531918
,NW1 2LA,-0.137234,51.532144
,NW1 2LR,-0.137696,51.52966
,NW1 2LS,-0.138243,51.528275
,NW1 2LU,-0.135991,51.525883
,NW1 2LW,-0.135686,51.527695
,NW1 2LY,-0.137562,51.527302
,NW1 2NB,-0.137006,51.526781
,NW1 2ND,-0.136421,51.526286
,NW1 2NG,-0.135991,51.525883
,NW1 2NJ,-0.137222,51.526433
,NW1 2NN,-0.138341,51.527629
,NW1 2NQ,-0.13543,51.530784
,NW1 2NR,-0.137873,51.527082
,NW1 2NT,-0.138375,51.526802
,NW1 2NU,-0.138309,51.526667
,NW1 2PA,-0.137958,51.526769
,NW1 2PB,-0.13775,51.526586
,NW1 2PE,-0.137443,51.52632
,NW1 2PG,-0.137409,51.525735
,NW1 2PL,-0.139082,51.526796
,NW1 2PR,-0.138035,51.526302
,NW1 2PT,-0.138406,51.530717
,NW1 2PX,-0.138392,51.526389
,NW1 2PY,-0.138392,51.526389
,NW1 2QE,-0.126191,51.528605
,NW1 2QS,-0.126195,51.528857
,NW1 2RA,-0.127131,51.528539
,NW1 2RS,-0.135713,51.530915
,NW1 2RT,-0.133296,51.528664
,NW1 2RY,-0.123028,51.529813
,NW1 2RZ,-0.134611,51.530367
,NW1 2SA,-0.122733,51.530312
,NW1 2SB,-0.123806,51.529808
,NW1 2SD,-0.123957,51.529639
,NW1 2ST,-0.123957,51.529639
,NW1 2SX,-0.127589,51.528342
,NW1 2WP,-0.13543,51.530784
,NW1 2WU,-0.13543,51.530784
,NW1 2ZF,-0.13543,51.530784
,NW1 3AA,-0.138278,51.52458
,NW1 3AD,-0.139672,51.52435
,NW1 3AF,-0.142751,51.52555
,NW1 3AH,-0.13543,51.530784
,NW1 3AL,-0.141044,51.524005
,NW1 3AN,-0.140082,51.524887
,NW1 3AR,-0.142047,51.523814
,NW1 3AT,-0.139304,51.525235
,NW1 3AW,-0.142121,51.524389
,NW1 3AX,-0.142166,51.524345
,NW1 3BF,-0.142345,51.524905
,NW1 3BG,-0.141598,51.524572
,NW1 3BR,-0.142045,51.52553
,NW1 3BT,-0.141623,51.524579
,NW1 3DB,-0.13543,51.530784
,NW1 3DE,-0.143014,51.524763
,NW1 3DF,-0.14283,51.52538
,NW1 3DL,-0.141696,51.531621
,NW1 3DP,-0.139304,51.525235
,NW1 3DS,-0.139809,51.525566
,NW1 3DU,-0.140082,51.524887
,NW1 3DX,-0.140531,51.525182
,NW1 3EA,-0.139653,51.53232
,NW1 3EB,-0.139247,51.531223
,NW1 3ED,-0.139327,51.528913
,NW1 3EE,-0.13899,51.52799
,NW1 3EF,-0.139161,51.528029
,NW1 3EH,-0.139027,51.527784
,NW1 3EJ,-0.139539,51.527594
,NW1 3EL,-0.138927,51.527396
,NW1 3EN,-0.140366,51.527464
,NW1 3EP,-0.139177,51.527283
,NW1 3ER,-0.139435,51.526972
,NW1 3ES,-0.140141,51.526974
,NW1 3EU,-0.140141,51.526974
,NW1 3EW,-0.138955,51.527423
,NW1 3EX,-0.140616,51.52771
,NW1 3EY,-0.140141,51.526974
,NW1 3FA,-0.139801,51.531438
,NW1 3FE,-0.139265,51.526187
,NW1 3FF,-0.139279,51.526196
,NW1 3FG,-0.140029,51.525848
,NW1 3FH,-0.140093,51.52817
,NW1 3HB,-0.141122,51.526244
,NW1 3HF,-0.141341,51.525474
,NW1 3HG,-0.140824,51.525438
,NW1 3HP,-0.13982,51.526459
,NW1 3HZ,-0.140084,51.526605
,NW1 3JA,-0.138916,51.525986
,NW1 3JN,-0.14218,51.524336
,NW1 3JP,-0.13929,51.5284
,NW1 3JR,-0.140336,51.52892
,NW1 3JS,-0.141556,51.528355
,NW1 3JT,-0.13929,51.5284
,NW1 3JU,-0.138847,51.528312
,NW1 3JX,-0.140246,51.527929
,NW1 3LB,-0.141327,51.526535
,NW1 3LD,-0.14114,51.526882
,NW1 3LE,-0.141508,51.527041
,NW1 3LG,-0.142254,51.527125
,NW1 3LH,-0.143089,51.527516
,NW1 3LJ,-0.143551,51.527865
,NW1 3LL,-0.142142,51.528112
,NW1 3LN,-0.141589,51.527879
,NW1 3LP,-0.141833,51.52755
,NW1 3LR,-0.14116,51.527791
,NW1 3NY,-0.142535,51.525546
,NW1 3PA,-0.142626,51.525782
,NW1 3PE,-0.143866,51.525783
,NW1 3PG,-0.143206,51.526052
,NW1 3PH,-0.143423,51.526397
,NW1 3PJ,-0.14349,51.526866
,NW1 3PL,-0.14242,51.525895
,NW1 3PN,-0.143376,51.527205
,NW1 3PP,-0.14283,51.527152
,NW1 3PR,-0.14269,51.526682
,NW1 3PS,-0.142046,51.526573
,NW1 3PT,-0.142338,51.525786
,NW1 3QB,-0.140581,51.529283
,NW1 3QD,-0.140998,51.52929
,NW1 3QE,-0.140998,51.52929
,NW1 3QG,-0.141186,51.528924
,NW1 3QH,-0.142022,51.528929
,NW1 3QJ,-0.142292,51.52869
,NW1 3QL,-0.142977,51.528845
,NW1 3QN,-0.143479,51.528907
,NW1 3QP,-0.143489,51.528673
,NW1 3QR,-0.143577,51.528279
,NW1 3QS,-0.142951,51.528071
